scheduler,task_id,priority,duration,deps,is_critical,ready_sec,start_sec,end_sec,exec_sec,wait_sec
dag_critical,c02,1,1.7,c01,1,1.5559911727905273,1.5562973022460938,3.31425404548645,1.7579567432403564,0.00030612945556640625
dag_critical,s04,9,2.2,,0,0.0,1.831132173538208,4.09021520614624,2.2590830326080322,1.831132173538208
dag_critical,s06,9,2.1,,0,0.0,2.323986291885376,4.483033180236816,2.1590468883514404,2.323986291885376
dag_critical,c03,1,1.4,c02,1,3.31425404548645,3.314521074295044,4.759316921234131,1.444795846939087,0.00026702880859375
dag_critical,s02,10,2.0,,0,0.0,4.090416193008423,6.140991926193237,2.0505757331848145,4.090416193008423
dag_critical,s08,9,2.0,,0,0.0,4.483262300491333,6.533962965011597,2.0507006645202637,4.483262300491333
dag_critical,c04,1,1.8,c03,1,4.759316921234131,4.759558200836182,6.60216498374939,1.842606782913208,0.00024127960205078125
dag_critical,s01,10,1.8,,0,0.0,6.141182899475098,7.967213153839111,1.8260302543640137,6.141182899475098
dag_critical,s05,10,1.7,,0,0.0,6.534142255783081,8.29267930984497,1.7585370540618896,6.534142255783081
dag_critical,c05,1,1.6,c04,1,6.60216498374939,6.6023101806640625,8.256434202194214,1.6541240215301514,0.00014519691467285156
dag_critical,s03,9,1.6,,0,0.0,7.967384099960327,9.632318258285522,1.6649341583251953,7.967384099960327
dag_critical,c06,1,1.7,c05,1,8.256434202194214,8.256595134735107,9.972837209701538,1.7162420749664307,0.0001609325408935547
dag_critical,s07,10,1.5,,0,0.0,8.292824029922485,9.848350286483765,1.5555262565612793,8.292824029922485
dag_critical,c07,1,1.5,c06,1,9.972837209701538,9.972926139831543,11.522878170013428,1.5499520301818848,8.893013000488281e-05
dag_critical,c08,1,1.8,c07,1,11.522878170013428,11.523046255111694,13.375553131103516,1.8525068759918213,0.00016808509826660156
dag_critical,f01,5,1.2,c08 s09 s10,1,13.375553131103516,13.375707149505615,14.626503229141235,1.2507960796356201,0.00015401840209960938
dag_critical,f02,5,0.8,f01,1,14.626503229141235,14.626763105392456,15.465779304504395,0.8390161991119385,0.0002598762512207031
